"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000225355.1",1374.90217768798,0.0291377709148771,0.0609802030714472,0.477823448385995,0.632775870348593,0.909624016037623,"Stable","Stable",0.909624016037623,NA,"ENSG00000225355.1"
"ENSG00000172058.16",73.2695893767784,-0.123671139824926,0.258875165385642,-0.47772500556666,0.632845944249073,0.909624016037623,"Stable","Stable",0.909624016037623,"SERF1A","SERF1A"
"ENSG00000082213.18",1211.24061272544,0.0350531454253824,0.0733848784844938,0.47766169474259,0.632891012115196,0.909624659685588,"Stable","Stable",0.909624659685588,"C5orf22","C5orf22"
"ENSG00000289810.1",21.5047836702036,0.25332883356816,0.530680797643375,0.477365743575295,0.63310170328981,0.909830947766062,"Stable","Stable",0.909830947766062,NA,"ENSG00000289810.1"
"ENSG00000274615.1",183.910054996251,0.0762899247964122,0.159885879364785,0.47715236079325,0.633253631513401,0.909830947766062,"Stable","Stable",0.909830947766062,"NPEPPSP1","NPEPPSP1"
"ENSG00000178385.15",363.421260153289,0.0667858853071075,0.139915200435913,0.47733116272594,0.633126323752563,0.909830947766062,"Stable","Stable",0.909830947766062,"PLEKHM3","PLEKHM3"
"ENSG00000223723.1",2477.03527552155,0.0250214157163732,0.0524396751410229,0.477146657546687,0.633257692428758,0.909830947766062,"Stable","Stable",0.909830947766062,NA,"ENSG00000223723.1"
"ENSG00000267692.1",192.954680093331,-0.0765020013000576,0.160310533063231,-0.477211321291554,0.633211650179359,0.909830947766062,"Stable","Stable",0.909830947766062,NA,"ENSG00000267692.1"
"ENSG00000288919.1",8.33174195011316,0.354453872229212,0.743315301514651,0.476855341881086,0.63346513428894,0.909931681638635,"Stable","Stable",0.909931681638635,NA,"ENSG00000288919.1"
"ENSG00000240751.1",48.7956605785538,0.148785348556377,0.312051962289517,0.476796708678718,0.633506889666527,0.909931681638635,"Stable","Stable",0.909931681638635,NA,"ENSG00000240751.1"
"ENSG00000290578.1",110.889300163272,0.100861749605405,0.211518952464766,0.476844975025141,0.633472516914921,0.909931681638635,"Stable","Stable",0.909931681638635,NA,"ENSG00000290578.1"
"ENSG00000094916.16",4715.60310504681,0.0189507576005587,0.0397511524023001,0.476734797742925,0.633550980534621,0.909931681638635,"Stable","Stable",0.909931681638635,"CBX5","CBX5"
"ENSG00000143153.14",2091.23532702711,-0.023789487839029,0.0498933043739684,-0.476807221680853,0.633499402792332,0.909931681638635,"Stable","Stable",0.909931681638635,"ATP1B1","ATP1B1"
"ENSG00000260018.2",43.6538048469848,0.159549147510903,0.334904530059196,0.476401879313792,0.633788096056285,0.910208110334867,"Stable","Stable",0.910208110334867,NA,"ENSG00000260018.2"
"ENSG00000166529.16",450.957308565452,0.0528354138038703,0.110924768411886,0.476317548914611,0.633848164927987,0.91023025431262,"Stable","Stable",0.91023025431262,"ZSCAN21","ZSCAN21"
"ENSG00000257307.1",709.645767803365,-0.0458110635727003,0.0961943083690486,-0.476234658260098,0.633907210615417,0.910250925942515,"Stable","Stable",0.910250925942515,"LOC644584","LOC644584"
"ENSG00000231453.1",11.1120439487505,0.332643350241167,0.699607657218884,0.475471282809436,0.634451097115583,0.910391168551499,"Stable","Stable",0.910391168551499,"LINC01305","LINC01305"
"ENSG00000259605.3",31.1929691792924,0.208297315105528,0.438278727219652,0.475262206831079,0.634600093135499,0.910391168551499,"Stable","Stable",0.910391168551499,NA,"ENSG00000259605.3"
"ENSG00000279233.1",46.8841457506771,0.16324392849574,0.343468082842338,0.47528121723809,0.634586544936627,0.910391168551499,"Stable","Stable",0.910391168551499,NA,"ENSG00000279233.1"
"ENSG00000124171.9",131.247231013259,0.0916379345799019,0.192822721938173,0.475244481868091,0.634612725343727,0.910391168551499,"Stable","Stable",0.910391168551499,"PARD6B","PARD6B"
"ENSG00000213239.3",306.763295198671,0.0624066771687352,0.131240410807693,0.475514186405433,0.634420524104709,0.910391168551499,"Stable","Stable",0.910391168551499,NA,"ENSG00000213239.3"
"ENSG00000090924.15",1725.20109553318,0.0271535993527869,0.057129597194174,0.475298281213088,0.634574384011047,0.910391168551499,"Stable","Stable",0.910391168551499,"PLEKHG2","PLEKHG2"
"ENSG00000149485.19",7670.37000938845,-0.0172420923369719,0.0362678777591303,-0.475409464305677,0.634495149946047,0.910391168551499,"Stable","Stable",0.910391168551499,"FADS1","FADS1"
"ENSG00000213225.8",781.437268054807,-0.0383838519116531,0.0807113121704423,-0.475569667738717,0.634380989149919,0.910391168551499,"Stable","Stable",0.910391168551499,"NOC2LP1","NOC2LP1"
"ENSG00000166228.9",986.212321470946,-0.0390913992557143,0.082184675391795,-0.4756531442067,0.634321507354049,0.910391168551499,"Stable","Stable",0.910391168551499,"PCBD1","PCBD1"
"ENSG00000237632.3",611.114620550359,-0.0479970163456129,0.100949165884577,-0.475457285110125,0.634461071981151,0.910391168551499,"Stable","Stable",0.910391168551499,NA,"ENSG00000237632.3"
"ENSG00000143816.8",307.532148037834,-0.065370520902415,0.137469368074339,-0.475527907184855,0.634410746838227,0.910391168551499,"Stable","Stable",0.910391168551499,"WNT9A","WNT9A"
"ENSG00000291088.1",32.0034281634138,-0.181396225435699,0.381221553670785,-0.475828881365791,0.63419629221688,0.910391168551499,"Stable","Stable",0.910391168551499,"NPEPPSP1","NPEPPSP1"
"ENSG00000111186.13",27.5834468474371,-0.214553188183473,0.451481696428043,-0.475220124937376,0.634630084189412,0.910391168551499,"Stable","Stable",0.910391168551499,"WNT5B","WNT5B"
"ENSG00000237489.5",10.0238304572054,-0.393966315651779,0.827642560861379,-0.476010217794689,0.634067098499041,0.910391168551499,"Stable","Stable",0.910391168551499,"C10orf143","C10orf143"
"ENSG00000238578.1",38.082899166667,-0.176913433893201,0.372338578631752,-0.475141293559511,0.634686267593243,0.910407701319719,"Stable","Stable",0.910407701319719,"SNORD4A","SNORD4A"
"ENSG00000158427.15",64.1393010242148,0.136693502706158,0.287753234841586,0.475037240785184,0.634760429598241,0.910450018841183,"Stable","Stable",0.910450018841183,"TMSB15B","TMSB15B"
"ENSG00000164252.13",1109.17773930366,-0.0316104074943716,0.0665519077473543,-0.474973724485429,0.634805701660043,0.910450895880233,"Stable","Stable",0.910450895880233,"AGGF1","AGGF1"
"ENSG00000136213.10",983.545212547518,-0.0359010778534492,0.0756141010226505,-0.474793423024296,0.63493422129271,0.910571159709687,"Stable","Stable",0.910571159709687,"CHST12","CHST12"
"ENSG00000166681.14",2676.90808009134,0.0243279290530327,0.0512698360807779,0.47450764255815,0.635137949338534,0.910607091582766,"Stable","Stable",0.910607091582766,"BEX3","BEX3"
"ENSG00000269973.1",182.984037947462,-0.0789273832316505,0.166301617176932,-0.474603822689697,0.63506938106938,0.910607091582766,"Stable","Stable",0.910607091582766,NA,"ENSG00000269973.1"
"ENSG00000173705.9",63.2639512580863,-0.135356191233341,0.285219542864043,-0.474568432002087,0.635094611261437,0.910607091582766,"Stable","Stable",0.910607091582766,"SUSD5","SUSD5"
"ENSG00000261067.7",10.4094890954738,-0.338800221423749,0.713796569813868,-0.474645348200673,0.635039777872464,0.910607091582766,"Stable","Stable",0.910607091582766,NA,"ENSG00000261067.7"
"ENSG00000221821.4",142.369205645116,0.0884867733678791,0.186598055668084,0.474210586230743,0.635349745039466,0.910764525400062,"Stable","Stable",0.910764525400062,"C6orf226","C6orf226"
"ENSG00000172586.8",535.464156608551,0.0478963922039313,0.10101193979679,0.474165651112991,0.635381785550853,0.910764525400062,"Stable","Stable",0.910764525400062,"CHCHD1","CHCHD1"
"ENSG00000214653.4",325.614259401616,-0.060584268056974,0.127751493070778,-0.474235303249322,0.635332121121332,0.910764525400062,"Stable","Stable",0.910764525400062,"HNRNPA3P3","HNRNPA3P3"
"ENSG00000100796.18",1945.26479705758,0.0290763786545174,0.0613299028267178,0.474097908432533,0.635430090044442,0.910769726193208,"Stable","Stable",0.910769726193208,"PPP4R3A","PPP4R3A"
"ENSG00000104888.10",80.3035825764802,0.128980982048633,0.272163758383235,0.47390946838342,0.635564466981267,0.910770225212998,"Stable","Stable",0.910770225212998,"SLC17A7","SLC17A7"
"ENSG00000218582.2",5688.48573119421,0.0189324640905045,0.0399394426197459,0.474029251503485,0.635479048033704,0.910770225212998,"Stable","Stable",0.910770225212998,NA,"ENSG00000218582.2"
"ENSG00000171703.17",1450.46914167736,-0.028368319435184,0.0598581900743308,-0.473925446124528,0.635553072759753,0.910770225212998,"Stable","Stable",0.910770225212998,"TCEA2","TCEA2"
"ENSG00000240270.1",14.1725200032482,0.288378380298768,0.609074048405848,0.47347014875047,0.635877793195302,0.910899608652902,"Stable","Stable",0.910899608652902,"RPL12P37","RPL12P37"
"ENSG00000214510.10",24.952592303952,0.213471392677122,0.450834491336806,0.473502797099975,0.635854505893369,0.910899608652902,"Stable","Stable",0.910899608652902,"SPINK13","SPINK13"
"ENSG00000243225.2",44.4060052976462,0.17202245371135,0.36340593829734,0.473361702665962,0.635955147827399,0.910899608652902,"Stable","Stable",0.910899608652902,NA,"ENSG00000243225.2"
"ENSG00000273899.5",133.318010128675,0.095760983644118,0.202378351001661,0.473178001353178,0.636086191101904,0.910899608652902,"Stable","Stable",0.910899608652902,"NOL12","NOL12"
"ENSG00000179240.13",155.083757498022,0.0898004435776535,0.189805085128874,0.473119271365573,0.636128088523574,0.910899608652902,"Stable","Stable",0.910899608652902,"GVQW3","GVQW3"
"ENSG00000241506.1",3660.35018188395,-0.0181695787419515,0.0383722611549149,-0.473508159151686,0.635850681302068,0.910899608652902,"Stable","Stable",0.910899608652902,"PSMC1P1","PSMC1P1"
