"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected"
"ENSG00000226677.3",291.710167165197,0.0804058412642482,0.182900709323854,0.439614704401595,0.66021618892242,0.8779776795379,"Stable","Stable",0.8779776795379
"ENSG00000103018.18",2753.31337905529,-0.0307768178775122,0.0700055902086544,-0.43963371761856,0.660202415948079,0.8779776795379,"Stable","Stable",0.8779776795379
"ENSG00000011405.14",1822.70688291979,-0.0415182984492257,0.0944467024961242,-0.439595002810495,0.660230460669192,0.8779776795379,"Stable","Stable",0.8779776795379
"ENSG00000226754.3",16.0767604334469,-0.281031218857895,0.63884771523513,-0.439903301140336,0.660007144871377,0.8779776795379,"Stable","Stable",0.8779776795379
"ENSG00000179476.8",51.9305578953253,0.122042669185889,0.277766835977514,0.439370916100901,0.660392796802601,0.878106289436647,"Stable","Stable",0.878106289436647
"ENSG00000248191.1",59.1610916343939,0.10133021147953,0.230667045051247,0.439292103720396,0.660449895006276,0.878106289436647,"Stable","Stable",0.878106289436647
"ENSG00000169045.19",3424.32857226354,0.03402360807772,0.0774603670805726,0.439238921270918,0.660488425886245,0.878106289436647,"Stable","Stable",0.878106289436647
"ENSG00000069345.12",2421.4579262924,0.029563770215914,0.067311921695629,0.439205559300408,0.66051259721583,0.878106289436647,"Stable","Stable",0.878106289436647
"ENSG00000276855.1",21.6852712499016,0.179423416884948,0.408839706088552,0.438860057408627,0.660762940186061,0.878260795590242,"Stable","Stable",0.878260795590242
"ENSG00000237441.10",263.819851824635,0.0522568542154485,0.11906735964883,0.438884799071481,0.660745011666418,0.878260795590242,"Stable","Stable",0.878260795590242
"ENSG00000107679.15",498.39980137358,0.0454151691797951,0.103487286367336,0.438847811880876,0.660771813719258,0.878260795590242,"Stable","Stable",0.878260795590242
"ENSG00000116138.13",544.013654968502,-0.0697870917582807,0.159044563271534,-0.438789546292975,0.660814035633909,0.878260795590242,"Stable","Stable",0.878260795590242
"ENSG00000111653.20",358.18645359035,-0.0352743262001431,0.0804153904025555,-0.438651432562369,0.660914123483211,0.878283308488374,"Stable","Stable",0.878283308488374
"ENSG00000133935.7",2677.90994726979,-0.035957392631649,0.0819750270012552,-0.438638374966298,0.660923586337036,0.878283308488374,"Stable","Stable",0.878283308488374
"ENSG00000234155.1",20.1117494072702,-0.213478639597613,0.486758170726042,-0.438572277644957,0.66097148796798,0.878285428911915,"Stable","Stable",0.878285428911915
"ENSG00000090889.12",481.982549467224,-0.0570993096839276,0.130230786871416,-0.4384470911652,0.661062216123972,0.878344452064684,"Stable","Stable",0.878344452064684
"ENSG00000179818.17",247.48919403155,0.0549008115613753,0.125290060207963,0.438189681370157,0.66124878798701,0.878346226048717,"Stable","Stable",0.878346226048717
"ENSG00000229399.1",211.68613025826,0.051081338399317,0.116569693081923,0.438204279764363,0.661238206437342,0.878346226048717,"Stable","Stable",0.878346226048717
"ENSG00000247596.10",1859.87528813068,-0.0680933773607573,0.155360682457396,-0.438292213214435,0.661174469888481,0.878346226048717,"Stable","Stable",0.878346226048717
