"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336846305077073,0,0,0,0,0.0529967427292141,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0.161772290426312,0.532910026159075,0.493407575402481,0.499598212557772,0.691690523028495,0.521283165681604,2.599870758987,1.23204354757789,1.64839406543064,1.03152615778612,0.757695299881982,0.73657915201085,0.477955786401661,0.0330081388885324,0.303039333296335,0.283074313604878,0.435837380080222,0.280663726105516,0.766997664233826,0.882922597123106,0.744246176315852,0.7277884644955,1.13902362392035,1.0814814481043,0.40062996516481,0.339812944739604,0.33449521550972,0.509532978173448,0.60523591230677,0.491969799791385
"ENSG00000278757.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000293331.1",0.0438830580926548,0.120466251124082,0.0650630040361509,0.102669085826919,0.0390897900945222,0.0589189784965798,0.216069944191223,0.272030999812707,0.253104098530664,0.195570526021988,0.178726727408444,0.16650639834728,0.174532042249236,0.194001858448309,0.167452130531564,0.0895859705125015,0.121258616798034,0.0951675852886521,0.0794670313039197,0.119752720069571,0.0994142837398568,0.138196154407651,0.0924288744825825,0.105717975252196,0.132362567329724,0.0844975483279706,0.119721946547381,0.12158077235684,0.118159083541604,0.0915859938308957
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",289.338873734177,350.845326872561,309.911353975196,284.087513221982,290.707695340595,279.405674857091,461.486926402389,244.396818448669,260.215507234541,216.778281215413,191.684955649772,279.674351894958,363.320818820589,363.126528832772,291.580319080291,305.09658206039,257.718321365998,318.296431283689,185.740494505496,170.207824577205,190.193092500564,182.479106014374,202.816157501227,224.591497476187,291.916091466229,271.631121633787,273.693516645333,276.245860913041,292.569664472928,302.654779774888
"ENSG00000225630.1",700.104823427954,458.398178777357,743.718933386231,651.666355014913,695.751844556758,679.85136312741,488.821516842129,726.560796624764,714.265039055586,813.537659020756,629.179517790268,815.881351901673,920.132926737972,901.224441006711,695.986237577649,649.251924796727,621.249576505853,670.211771421252,713.718693105009,563.610189371431,636.86893158216,654.013300734209,686.11108889352,717.8481777695,721.200089061463,665.942461962167,636.479674776364,665.94748235556,678.124308793965,648.497525818115
"ENSG00000237973.1",1195.62658117717,1137.51679328667,1199.91566020869,1115.39284964485,1156.754815591,1167.18206198071,1715.155806477,1409.14244023784,1703.41121035724,1188.04382497177,938.625759575013,1288.53614780641,1649.37971773058,1610.73019883436,1142.53841617591,1171.74878764645,983.871173847757,1169.03858684731,1086.06136059428,842.001429315221,934.589448934365,901.496147326513,1067.54280775659,1114.05174961159,1492.28432576455,1425.54758871582,1377.25727723709,1428.75848465511,1483.07410182317,1539.62006048324
"ENSG00000278791.1",2.25208840267642,1.48376521890133,2.28963290608117,3.79368040056637,0.601829043562012,1.5550638257131,4.25808310691988,2.39326149273426,3.89680776417575,3.7058670808177,2.75168874417326,4.39464640132316,3.07097952991352,4.59517798684176,2.34373117324694,2.36446567116703,2.33363229870093,5.37242404928663,1.33470520503611,0.983317840751037,0.941900932027926,3.24217494835029,4.87899834066486,0.813820537018663,1.7160951662548,2.36532718276612,1.94026016861677,1.97038501859208,1.14895908378154,3.22300373795916
"ENSG00000229344.1",364.134956380544,482.523930160835,364.15486698166,329.633928353708,346.116118699447,335.990312798734,997.36465626308,569.093837513605,633.512507335049,509.302013173411,462.749048368851,576.999602736124,450.118392872865,418.685397458577,375.159880472606,353.557534835124,318.726951876855,334.294109347807,384.118503250334,349.22706132075,415.950080798303,362.807458388157,384.992554304486,418.968415909,423.205549557581,396.643171931155,364.76151481368,391.201166112101,407.480079910221,401.354937255616
"ENSG00000240409.1",100.12110499744,92.7150169955674,96.7203987391319,104.934055137727,95.9990009148506,89.8155784812427,119.000052046046,98.782735236336,126.961050815856,80.8621987308373,77.4926064452077,105.391310745205,63.1578342452344,68.1618068048195,46.1522560791747,48.6276542984054,48.3614291544312,57.9570594407891,55.6642996863611,48.8309939323685,58.5184393060152,49.1377456845988,63.4564409790095,69.2808961514149,88.9094812101428,89.4939250986679,84.2560321531216,85.9030755496913,84.1441387621592,83.4905883761909
"ENSG00000248527.1",1271.66403903338,1405.29125136951,1360.23611111725,1213.54506663776,1291.95639411148,1275.34567345857,2376.34958219073,1710.46621460208,1823.20248138279,1275.33660743043,936.746637557235,1310.57332840817,916.140986811285,914.509245835939,715.584147221167,694.608374235353,602.279998016504,673.080607712689,876.699447996362,682.452182091697,746.830621087511,771.224034258561,821.807924861518,850.494445315722,1102.15204067301,1050.83949637807,997.505132402518,1081.69623863394,1104.55966050872,1102.05607934854
"ENSG00000198744.5",306.553285253088,319.716593606249,330.812189823414,274.574843397604,308.549058770543,296.115045213287,795.523966269372,582.473323844854,629.524030485483,436.471706486828,367.947401151472,472.240150445333,374.24966443065,358.727987988509,285.927490675227,272.183715080823,248.852234300922,268.514950434771,251.693193061572,215.988370322188,234.09337652078,235.010266205877,246.156764393608,257.676113507149,309.443801923523,298.029495356003,300.853833129011,306.486725634166,296.42794282623,323.620950967342
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0,0,0.0962658404997719,0,0,0,0.0983924879334798,0,0,0,0,0,0,0.0850688591990495,0,0,0,0.0992991128614079,0.162908636798955,0,0,0
