ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0043410,positive regulation of MAPK cascade,22/453,475/18888,0.002642012317252903,0.04108920648623172,0.03385013424540051,EGFR/IGFBP3/MTURN/WNT7A/PDGFB/GADD45G/NKD1/CHI3L1/DRD2/GAS6/IGFBP6/BMP2/SERPINF2/GPR37/CAVIN3/GDF6/JCAD/CD74/IL34/CCL2/WNT4/ALKAL2,22
BP,GO:0002790,peptide secretion,14/453,247/18888,0.002663972066352683,0.041276712165643055,0.034004605284454904,EGFR/PTPRN/SMPD3/NNAT/SFRP1/SYT7/DRD2/NOS2/CCN3/GIPR/CD74/AQP1/TCIRG1/GCK,14
BP,GO:0007517,muscle organ development,18/453,359/18888,0.0027449037392726487,0.04237318068625333,0.03490789862575977,HOMER1/CRYAB/FGFRL1/PAX3/SHH/WNT10B/NEURL1/KLHL41/HOXD10/MSTN/BMP2/SGCG/WT1/HOXD9/PAX5/SOX15/NOG/MYLK2,18
BP,GO:0071676,negative regulation of mononuclear cell migration,4/453,25/18888,0.0027691807713528934,0.04243362299631934,0.034957692245174685,BMP5/CCN3/APOD/CCL2,4
BP,GO:1905523,positive regulation of macrophage migration,4/453,25/18888,0.0027691807713528934,0.04243362299631934,0.034957692245174685,MSTN/CMKLR1/RARRES2/IL34,4
BP,GO:0030177,positive regulation of Wnt signaling pathway,10/453,146/18888,0.0027806814960546623,0.04245377463573565,0.03497429358060655,EGFR/NKD1/FZD9/SHH/SFRP1/WNT10B/BMP2/LRRK1/CDH3/TNFAIP3,10
BP,GO:0031346,positive regulation of cell projection organization,18/453,360/18888,0.0028272548629654846,0.04260661616658834,0.03510020758041498,DPYSL3/MAP6/HTT/L1CAM/PLXNA2/WNT1/BMP5/MYO3B/NEURL1/EPS8L2/SLITRK1/MSTN/CARMIL2/PACSIN1/ITGA2/CNTN1/ROR1/ALKAL2,18
BP,GO:0050432,catecholamine secretion,6/453,59/18888,0.0028342902539849834,0.04260661616658834,0.03510020758041498,SYT4/SYT12/SYT7/DRD2/GRM2/SYT13,6
BP,GO:0009187,cyclic nucleotide metabolic process,5/453,41/18888,0.002856052172234825,0.04260661616658834,0.03510020758041498,EPHA2/PDE2A/PDE1A/ADCY2/NPR1,5
BP,GO:0035136,forelimb morphogenesis,5/453,41/18888,0.002856052172234825,0.04260661616658834,0.03510020758041498,WNT7A/RDH10/SHH/HOXD10/HOXD9,5
BP,GO:0072210,metanephric nephron development,5/453,41/18888,0.002856052172234825,0.04260661616658834,0.03510020758041498,PDGFB/FOXD1/WT1/AQP1/WNT4,5
BP,GO:0042246,tissue regeneration,7/453,79/18888,0.002859427442474508,0.04260661616658834,0.03510020758041498,WNT7A/FZD9/WNT10B/MSTN/CCN3/APOD/SOX15,7
BP,GO:0060047,heart contraction,14/453,249/18888,0.0028657460769083883,0.04260661616658834,0.03510020758041498,SCN3A/TH/HCN4/ATP1A3/KCNN2/GLP1R/DRD2/SLC8A3/SCN5A/ADM2/SGCG/KCNG2/ATP1A2/MYLK2,14
BP,GO:0070371,ERK1 and ERK2 cascade,17/453,332/18888,0.0028724710035535807,0.04260661616658834,0.03510020758041498,EGFR/MTURN/EPHA2/EMILIN1/PDGFB/CHI3L1/DUSP26/FBLN1/DRD2/GAS6/BMP2/SERPINF2/CAVIN3/GBP1/CD74/CCL2/ALKAL2,17
BP,GO:0030323,respiratory tube development,12/453,197/18888,0.0029359231909528638,0.04339336120528913,0.03574834434075491,IGFBP5/EGFR/RDH10/SMPD3/CHI3L1/SHH/BMP2/ADAMTS2/CEBPA/FOXF1/NOG/ADAMTSL2,12
BP,GO:1901342,regulation of vasculature development,18/453,362/18888,0.0029981531026288363,0.04415654463518371,0.036377070562675334,ADAM12/EPHA2/EMILIN1/ADAMTS9/SERPINE1/CHI3L1/SFRP1/HSPB6/ADM2/JCAD/NPR1/AQP1/PIK3CD/TSPAN18/TNFAIP3/COL4A3/WNT4/PPP1R16B,18
BP,GO:1905517,macrophage migration,6/453,60/18888,0.003086778923596543,0.04530174138574082,0.03732050722302418,EMILIN1/MSTN/CMKLR1/RARRES2/IL34/CCL2,6
BP,GO:0060562,epithelial tube morphogenesis,17/453,335/18888,0.0031483033346177496,0.04584033376284171,0.037764210711786456,EPHA2/RDH10/WNT1/FOLR1/SHH/SFRP1/BMP5/EYA1/FOXD1/BMP2/NFATC4/WT1/PIK3CD/WNT4/HOXB7/FOXF1/NOG,17
BP,GO:0008585,female gonad development,8/453,102/18888,0.0031612187442832634,0.04584033376284171,0.037764210711786456,UBB/PTPRN/TNFAIP6/SFRP1/UMODL1/WT1/WNT4/BMPR1B,8
BP,GO:0000578,embryonic axis specification,5/453,42/18888,0.003179236061392993,0.04584033376284171,0.037764210711786456,WNT7A/WNT1/WT1/SMAD6/CXXC4,5
BP,GO:0022612,gland morphogenesis,9/453,125/18888,0.0031961393981152723,0.04584033376284171,0.037764210711786456,IGFBP5/EGFR/EPHA2/SHH/SFRP1/TNFAIP3/WNT4/CYP7B1/NOG,9
BP,GO:1903305,regulation of regulated secretory pathway,9/453,125/18888,0.0031961393981152723,0.04584033376284171,0.037764210711786456,RIMS3/WNT7A/SYT4/SYT12/SYT7/CDK5R2/RPH3A/SYT13/FOXF1,9
