ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0017157,regulation of exocytosis,16/549,184/18805,0.08695652173913043,2.9785380533776826,4.676923851588418,1.029820327128804e-4,0.010597341556787359,0.009043835654785285,RIMS3/WNT7A/CPLX2/SYT12/SYT7/CDK5R2/SYT4/SMPD3/RAB3C/LGI3/CADPS2/FOXF1/RPH3A/SYT13/SPI1/IL4R,16
BP,GO:0050673,epithelial cell proliferation,30/549,488/18805,0.06147540983606557,2.105728746752665,4.291803393018332,1.105407123363444e-4,0.010870600613636872,0.009277036593726978,CDKN2B/IGFBP5/IGFBP3/EPHA2/EGFR/WNT7A/PDGFB/SHH/WNT10B/PTPRN/EYA1/BMP5/SFRP1/DRD2/CCN3/SCN5A/JCAD/RASGRF1/PIK3CD/PPP1R16B/TNFAIP3/CYP7B1/GLI1/CDH3/COL4A3/DLX5/CCL2/LRG1/ALOX5/EPPK1,30
BP,GO:0007269,neurotransmitter secretion,14/549,148/18805,0.0945945945945946,3.240166395904101,4.744590228599236,1.1318302351079574e-4,0.010870600613636872,0.009277036593726978,NRXN2/RIMS3/TSPOAP1/GRIK5/WNT7A/CPLX2/SYT12/SYT7/SYT4/SNPH/CADPS2/RPH3A/SYT13/MCTP1,14
BP,GO:0099643,signal release from synapse,14/549,148/18805,0.0945945945945946,3.240166395904101,4.744590228599236,1.1318302351079574e-4,0.010870600613636872,0.009277036593726978,NRXN2/RIMS3/TSPOAP1/GRIK5/WNT7A/CPLX2/SYT12/SYT7/SYT4/SNPH/CADPS2/RPH3A/SYT13/MCTP1,14
BP,GO:0017156,calcium-ion regulated exocytosis,9/549,66/18805,0.13636363636363635,4.670889220069547,5.1805816235980435,1.2139947988310523e-4,0.011406272870756105,0.009734182551725416,RIMS3/SYT12/SYT7/CDK5R2/SYT4/TSPAN18/CADPS2/RPH3A/SYT13,9
BP,GO:0044342,type B pancreatic cell proliferation,6/549,28/18805,0.21428571428571427,7.339968774395003,5.821856699092455,1.3122652432164694e-4,0.011895016002982057,0.0101512789094837,IGFBP5/IGFBP3/PTPRN/SFRP1/CCN3/RASGRF1,6
BP,GO:0007605,sensory perception of sound,15/549,169/18805,0.08875739644970414,3.0402237527079894,4.620120265786966,1.3387058185622202e-4,0.011895016002982057,0.0101512789094837,TUB/SPNS2/PAX3/EPS8L2/EYA1/MYO3B/PCDH15/ESPN/MYO7A/COL4A3/ROR1/SLC17A8/MBP/TMPRSS3/CACNA1D,15
BP,GO:0045055,regulated exocytosis,18/549,228/18805,0.07894736842105263,2.7041990221455277,4.4896080150745465,1.3485788619762166e-4,0.011895016002982057,0.0101512789094837,RIMS3/GRIK5/WNT7A/CPLX2/SYT12/SYT7/CDK5R2/SYT4/SNPH/TPH1/TSPAN18/CADPS2/PIK3CD/FOXF1/RPH3A/SYT13/SPI1/IL4R,18
BP,GO:0060395,SMAD protein signal transduction,11/549,99/18805,0.1111111111111111,3.8059097348714834,4.854106583317724,1.4699602814778343e-4,0.012176889825553592,0.010391831741820255,SMAD9/EMILIN1/BMP5/RBPMS/BMP2/CCN3/SMAD6/LDLRAD4/CILP/GDF6/KIAA0319,11
BP,GO:0006887,exocytosis,24/549,358/18805,0.0670391061452514,2.2963030802576547,4.294312769268029,1.4753710854611504e-4,0.012176889825553592,0.010391831741820255,RIMS3/GRIK5/WNT7A/CPLX2/SYT12/SYT7/CDK5R2/SYT4/SMPD3/RAB3C/SRCIN1/LLGL2/SNPH/TPH1/LGI3/TSPAN18/CADPS2/PIK3CD/FOXF1/STXBP5L/RPH3A/SYT13/SPI1/IL4R,24
